name,abv,price,size,kind,establishment_type,bar_name,county_name,beer_category,origin_zone,bar_url,beer_url
Rochefort 10,11.3,18.0,12.0,Bottle,Restaurant,Cafe D'Alsace,New York,Belgian,world,https://www.beermenus.com/places/1079-cafe-d-alsace,https://www.beermenus.com/beers/4019-rochefort-10
Rochefort 10,11.3,15.0,11.2,Bottle,Restaurant,Third Avenue Ale House,New York,Belgian,world,https://www.beermenus.com/places/7744-third-avenue-ale-house,https://www.beermenus.com/beers/4019-rochefort-10
Rochefort 8,9.2,13.0,11.2,Bottle,Restaurant,Third Avenue Ale House,New York,Belgian,world,https://www.beermenus.com/places/7744-third-avenue-ale-house,https://www.beermenus.com/beers/4018-rochefort-8
Rochefort 10,11.3,15.0,12.0,Bottle,Bar,Adobe Blues,Richmond,Belgian,world,https://www.beermenus.com/places/2078-adobe-blues,https://www.beermenus.com/beers/4019-rochefort-10
Rochefort 8,9.2,14.0,12.0,Bottle,Bar,Adobe Blues,Richmond,Belgian,world,https://www.beermenus.com/places/2078-adobe-blues,https://www.beermenus.com/beers/4018-rochefort-8
Rochefort Trappistes 10,11.3,12.0,11.2,Bottle,,BAR 177 NYC,New York,Belgian,world,https://www.beermenus.com/places/57885-bar-177-nyc,https://www.beermenus.com/beers/100532-rochefort-trappistes-10
Rochefort 10,11.3,12.0,11.2,Bottle,Bar,BAR 180 NYC,New York,Belgian,world,https://www.beermenus.com/places/42483-bar-180-nyc,https://www.beermenus.com/beers/4019-rochefort-10
Trois Dames l'Amoureuse Blanche,8.0,14.0,11.2,Bottle,Restaurant,Treadwell Park Downtown,New York,Sour,world,https://www.beermenus.com/places/49223-treadwell-park-downtown,https://www.beermenus.com/beers/27294-trois-dames-l-amoureuse-blanche
Trois Dames/Jester King/Crooked Stave Sin Frontera Cognac,7.8,45.0,25.4,Bottle,Bar,The Well,Kings,Sour,world,https://www.beermenus.com/places/18701-the-well,https://www.beermenus.com/beers/239085-trois-dames-jester-king-crooked-stave-sin-frontera-cognac
Trois Dames Grande Dame Oud Bruin,7.0,44.0,25.0,Bottle,Restaurant,Cafe D'Alsace,New York,Ale,world,https://www.beermenus.com/places/1079-cafe-d-alsace,https://www.beermenus.com/beers/11073-trois-dames-grande-dame-oud-bruin
Trois Dames L'amoureuse Rouge,8.0,5.75,12.0,Bottle,Bar,Broadway Dive,New York,Sour,world,https://www.beermenus.com/places/339-broadway-dive,https://www.beermenus.com/beers/19126-trois-dames-l-amoureuse-rouge
Trois Dames l'Amoureuse Blanche,8.0,5.75,12.0,Bottle,Bar,Broadway Dive,New York,Sour,world,https://www.beermenus.com/places/339-broadway-dive,https://www.beermenus.com/beers/27294-trois-dames-l-amoureuse-blanche
Two Brothers Ebel's Weiss,4.9,8.0,12.0,Bottle,Restaurant,Treadwell Park Downtown,New York,Wheat,country,https://www.beermenus.com/places/49223-treadwell-park-downtown,https://www.beermenus.com/beers/3009-two-brothers-ebel-s-weiss
Two Brothers Prairie Path,5.1,8.0,12.0,Bottle,Restaurant,Treadwell Park Downtown,New York,Ale,country,https://www.beermenus.com/places/49223-treadwell-park-downtown,https://www.beermenus.com/beers/4590-two-brothers-prairie-path
Two Brothers Prairie Path,5.1,7.0,12.0,Bottle,Bar,One Mile House,New York,Ale,country,https://www.beermenus.com/places/3332-one-mile-house,https://www.beermenus.com/beers/4590-two-brothers-prairie-path
Two Brothers Prairie Path,5.1,8.0,12.0,Bottle,Bar,Someday Bar NYC,Kings,Ale,country,https://www.beermenus.com/places/63434-someday-bar-nyc,https://www.beermenus.com/beers/4590-two-brothers-prairie-path
Two Brothers Prairie Path,5.1,8.0,12.0,Bottle,Bar,Barrow Street Alehouse,New York,Ale,country,https://www.beermenus.com/places/8199-barrow-street-alehouse,https://www.beermenus.com/beers/4590-two-brothers-prairie-path
Two Brothers Prairie Path,5.1,8.0,12.0,Bottle,,Treadwell Park West,New York,Ale,country,https://www.beermenus.com/places/56966-treadwell-park-west,https://www.beermenus.com/beers/4590-two-brothers-prairie-path
Two Brothers Prairie Path,5.1,7.0,12.0,Bottle,Bar,Hogshead Tavern,New York,Ale,country,https://www.beermenus.com/places/19240-hogshead-tavern,https://www.beermenus.com/beers/4590-two-brothers-prairie-path
Weihenstephaner Vitus,7.7,8.0,12.0,Bottle,Restaurant,Treadwell Park Downtown,New York,Wheat,world,https://www.beermenus.com/places/49223-treadwell-park-downtown,https://www.beermenus.com/beers/2802-weihenstephaner-vitus
Weihenstephaner Festbier,5.8,8.0,16.0,Draft,Bar,Marshall Stack,New York,Ale,world,https://www.beermenus.com/places/6549-marshall-stack,https://www.beermenus.com/beers/747-weihenstephaner-festbier
Weihenstephaner Hefeweissbier,5.4,8.0,16.0,Draft,Bar,Marshall Stack,New York,Wheat,world,https://www.beermenus.com/places/6549-marshall-stack,https://www.beermenus.com/beers/373-weihenstephaner-hefeweissbier
Weihenstephaner Hefeweissbier,5.4,7.0,11.2,Bottle,Restaurant,The CopperPot,Kings,Wheat,world,https://www.beermenus.com/places/54928-the-copperpot,https://www.beermenus.com/beers/373-weihenstephaner-hefeweissbier
Weihenstephaner Kristallweissbier,5.4,7.0,16.0,Draft,Bar,Uncle Barry's,Kings,Wheat,world,https://www.beermenus.com/places/3114-uncle-barry-s,https://www.beermenus.com/beers/11963-weihenstephaner-kristallweissbier
Weihenstepher Hefeweiss,5.4,8.0,16.0,Draft,Restaurant,Croxley's Abbey,Kings,Wheat,world,https://www.beermenus.com/places/19000-croxley-s-abbey,https://www.beermenus.com/beers/183522-weihenstepher-hefeweiss
Weinhenstephaner Hefeweissbier,5.4,8.0,20.0,Draft,Bar,IONA,Kings,Wheat,world,https://www.beermenus.com/places/2263-iona,https://www.beermenus.com/beers/177829-weinhenstephaner-hefeweissbier
Weihenstephaner Hefeweissbier,5.4,10.0,16.9,Bottle,Restaurant,Giorgio's of Gramercy,New York,Wheat,world,https://www.beermenus.com/places/30343-giorgio-s-of-gramercy,https://www.beermenus.com/beers/373-weihenstephaner-hefeweissbier
Weihenstephaner Hefeweissbier,5.4,7.0,16.0,Draft,Bar,The Monro Pub,Kings,Wheat,world,https://www.beermenus.com/places/10542-the-monro-pub,https://www.beermenus.com/beers/373-weihenstephaner-hefeweissbier
Weihenstepher Hefeweiss,5.4,8.0,18.0,Draft,Bar,The Fulton Grand,Kings,Wheat,world,https://www.beermenus.com/places/1954-the-fulton-grand,https://www.beermenus.com/beers/183522-weihenstepher-hefeweiss
Weihenstephaner Hefeweissbier Dunkel,5.3,8.0,16.0,Bottle,Bar,Burnside,Kings,Wheat,world,https://www.beermenus.com/places/3054-burnside,https://www.beermenus.com/beers/28527-weihenstephaner-hefeweissbier-dunkel
Weihenstephaner Hefeweissbier,5.4,7.0,16.0,,Bar,Ore Bar,Kings,Wheat,world,https://www.beermenus.com/places/8379-ore-bar,https://www.beermenus.com/beers/373-weihenstephaner-hefeweissbier
